"Tabela 4 - Vitaminas na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Reti-
nol
(mcg)","Vitami-
na A
(RAE)
(mcg)","Tiami-
na
(mg)","Ribofla-
vina
(mg)","Niaci-
na
(mg)","Niaci-
na
(NE)
(mg)","Pirido-
xina
(mg)","Coba-
lami-
na
(mcg)","Folato
(DFE)
(mcg)","Vitami-
na D
(mcg)","Vitami-
na E
6803401,"Melancia",99,"Não se aplica","-","28,50","0,03","0,02","0,18","0,29","0,05","-","3,00","-","0,05","8,10"
6803501,"Melão",99,"Não se aplica","-","2,50","0,04","0,01","0,42","0,50","0,09","-","19,00","-","0,03","18,00"
6803601,"pera",99,"Não se aplica","-","1,17","0,01","0,03","0,16","0,19","0,03","-","7,00","-","0,21","4,20"
6803701,"Pêssego",99,"Não se aplica","-","16,29","0,02","0,03","0,81","0,97","0,03","-","4,00","-","0,71","6,60"
6803801,"Fruta-de-conde",99,"Não se aplica","-","-","0,09","0,12","0,57","0,57","0,21","-","18,00","-","-","11,50"
6803802,"Pinha (fruta-de-conde)",99,"Não se aplica","-","-","0,09","0,12","0,57","0,57","0,21","-","18,00","-","-","11,50"
6803803,"Ata",99,"Não se aplica","-","-","0,09","0,12","0,57","0,57","0,21","-","18,00","-","-","11,50"
6803901,"Uva",99,"Não se aplica","-","3,29","0,07","0,07","0,19","0,37","0,09","-","2,00","-","0,38","10,80"
6803912,"Uva passa",99,"Não se aplica","-","-","0,11","0,13","0,77","1,60","0,17","-","5,00","-","0,11","2,30"
6804001,"Jenipapo ",99,"Não se aplica","30,00","-","0,04","0,04","0,50","-","-","-","-","-","-","33,00"
6804101,"Jaca",99,"Não se aplica","-","14,85","0,03","0,11","0,40","0,40","0,11","-","14,00","-","0,10","6,70"
6804201,"Goiaba",99,"Não se aplica","-","31,17","0,07","0,04","1,08","1,45","0,11","-","49,00","-","0,73","228,30"
6804203,"Araçá-açu (goiaba)",99,"Não se aplica","-","31,17","0,07","0,04","1,08","1,45","0,11","-","49,00","-","0,73","228,30"
6804301,"Ameixa",99,"Não se aplica","-","17,29","0,03","0,03","0,42","0,57","0,03","-","5,00","-","0,28","9,50"
6804401,"Caju",99,"Não se aplica","-","7,00","-","-","-","-","-","-","-","-","-","-"
6804501,"Cereja",99,"Não se aplica","-","3,17","0,03","0,03","0,15","0,30","0,05","-","4,00","-","0,06","7,00"
6804601,"Cajá-manga",99,"Não se aplica","-","-","0,11","-","-","-","0,05","-","-","-","-","26,70"
6804602,"Cajarana",99,"Não se aplica","34,00","-","0,05","0,02","1,40","-","-","-","-","-","-","36,00"
6804701,"Taperebá",99,"Não se aplica","23,00","-","0,08","0,06","0,50","-","-","-","-","-","-","28,00"
6804702,"Acaja (taberebá)",99,"Não se aplica","-","-","0,11","-","-","-","0,05","-","-","-","-","26,70"
6804801,"Carambola",99,"Não se aplica","-","3,08","0,01","0,02","0,37","0,50","0,02","-","12,00","-","0,15","34,40"
6804901,"Jabuticaba",99,"Não se aplica","-","29,92","0,07","0,06","0,50","0,72","0,23","-","6,00","-","1,00","36,00"
6805001,"Graviola",99,"Não se aplica","-","-","0,17","0,12","-","-","0,03","-","-","-","-","19,10"
6805201,"Morango",99,"Não se aplica","-","0,58","0,02","0,02","0,39","0,52","0,05","-","24,00","-","0,28","58,80"
6805301,"Jambo",99,"Não se aplica","-","-","0,08","-","1,18","-","-","-","-","-","-","3,80"
6805401,"Atemoia ",99,"Não se aplica","-","-","0,09","0,12","0,57","0,57","0,21","-","18,00","-","-","11,50"
6805601,"Mangaba",99,"Não se aplica","30,00","-","0,04","0,04","0,50","-","-","-","-","-","-","33,00"
6805701,"Araçá",99,"Não se aplica","-","31,17","0,07","0,04","1,08","1,45","0,11","-","49,00","-","0,73","228,30"
6805801,"Nêspera",99,"Não se aplica","-","85,92","0,02","0,02","0,18","0,26","0,10","-","14,00","-","0,89","1,00"
6805901,"Fruta-pão",99,"Não se aplica","-","-","0,11","0,03","0,90","0,90","0,10","-","14,00","-","0,10","29,00"
6806001,"Sapoti",99,"Não se aplica","4,00","-","0,01","0,01","0,20","-","-","-","-","-","-","13,00"
6806101,"Uxi",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6806201,"Tamarindo",99,"Não se aplica","-","1,50","0,43","0,15","1,94","2,24","0,07","-","14,00","-","0,10","3,50"
6806301,"Cacau",99,"Não se aplica","-","-","0,25","-","-","-","0,04","-","-","-","-","13,60"
6806401,"Pitomba ",99,"Não se aplica","-","-","0,01","0,07","0,60","0,79","0,10","-","14,00","-","0,07","71,50"
6806501,"Bacuri",99,"Não se aplica","30,00","-","0,04","0,04","0,50","-","-","-","-","-","-","33,00"
6806601,"Ingá",99,"Não se aplica","-","-","0,04","0,06","0,40","-","-","-","-","-","-","9,00"
6806701,"Pequi",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6806801,"Pitanga ",99,"Não se aplica","-","77,00","0,03","0,10","-","-","-","-","-","-","-","24,90"
6806901,"Ciriguela",99,"Não se aplica","-","-","0,14","-","-","-","-","-","-","-","-","27,00"
6807001,"Murici",99,"Não se aplica","7,00","-","0,02","-","0,40","-","0,04","-","-","-","-","84,00"
6807101,"Umbu",99,"Não se aplica","-","-","0,05","0,06","-","-","0,03","-","-","-","-","24,10"
6807103,"Imbu",99,"Não se aplica","-","-","0,05","0,06","-","-","0,03","-","-","-","-","24,10"
6807202,"Biribá",99,"Não se aplica","-","-","0,09","0,12","0,57","0,57","0,21","-","18,00","-","-","11,50"
6807301,"Cupuaçu",99,"Não se aplica","-","-","0,37","0,04","4,34","-","0,07","-","-","-","-","24,50"
6807401,"Nectarina",99,"Não se aplica","-","16,58","0,03","0,03","1,13","1,21","0,03","-","5,00","-","0,70","5,40"
6807501,"Mari",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6807601,"Romã",99,"Não se aplica","-","-","0,12","0,17","-","-","0,05","-","-","-","-","8,10"
6807701,"Acerola",99,"Não se aplica","-","121,00","0,02","0,06","0,40","0,40","0,01","-","14,00","-","0,13","1677,60"
6807801,"Kiwi",99,"Não se aplica","-","4,33","0,03","0,03","0,34","0,59","0,06","-","25,00","-","1,31","92,70"
6808001,"Abiu",99,"Não se aplica","-","-","-","0,04","-","-","0,05","-","-","-","-","10,30"
6808201,"Jurubeba",99,"Não se aplica","-","-","0,13","0,02","-","-","0,20","-","-","-","-","13,80"
6808401,"Fruta (não especificada)",99,"Não se aplica","-","3,21","0,03","0,07","0,67","0,82","0,37","-","20,00","-","0,13","8,70"
6808601,"Maçã orgânica",99,"Não se aplica","-","2,71","0,02","0,03","0,09","0,11","0,04","-","3,00","-","0,21","4,60"
6808901,"Acerola orgânica",99,"Não se aplica","-","121,00","0,02","0,06","0,40","0,40","0,01","-","14,00","-","0,13","1677,60"
6809901,"Amora",99,"Não se aplica","21,33","10,67","0,02","0,03","0,65","0,65","0,03","-","25,00","-","1,43","21,00"
6810201,"Jamelão (jamburão)",99,"Não se aplica","-","29,92","0,07","0,06","0,50","0,72","0,23","-","6,00","-","1,00","36,00"
"Açúcares e produtos de confeitaria ",,,,,,,,,,,,,,,
6900302,"Demerara",99,"Não se aplica","-","-","-","0,02","-","-","-","-","-","-","-","-"
6900304,"Açúcar mascavo",99,"Não se aplica","-","-","-","-","0,11","0,11","0,04","-","1,00","-","-","-"
6900401,"Rapadura",99,"Não se aplica","-","-","-","0,05","-","-","0,20","-","-","-","-","-"
6900402,"Alfenim de cana",99,"Não se aplica","-","-","-","0,05","-","-","0,20","-","-","-","-","-"
6900403,"Batida (rapadura)",99,"Não se aplica","-","-","-","-","0,11","0,11","0,04","-","1,00","-","-","-"
6900501,"Sorvete de qualquer sabor industrializado",99,"Não se aplica","116,00","117,58","0,04","0,23","0,15","0,93","0,05","0,36","8,66","0,62","0,30","0,63"
6900502,"Picolé de qualquer sabor industrializado",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","0,70"
6900601,"Chiclete",99,"Não se aplica","-","-","0,01","0,01","0,01","0,01","0,01","-","-","-","-","-"
6900603,"Bala",99,"Não se aplica","-","-","0,00","0,00","0,01","0,01","0,00","-","-","-","-","-"
6900604,"Caramelo (bala)",99,"Não se aplica","11,00","11,17","0,10","0,26","0,15","1,15","0,06","0,30","4,00","0,02","0,46","0,40"
6900605,"Drops",99,"Não se aplica","-","-","0,00","0,00","0,01","0,01","0,00","-","-","-","-","-"
6900606,"Pastilha",99,"Não se aplica","-","-","0,01","0,01","0,01","0,01","0,01","-","-","-","-","-"
6900607,"Pirulito",99,"Não se aplica","-","-","0,00","0,00","0,01","0,01","0,00","-","-","-","-","-"
6900609,"Goma de mascar",99,"Não se aplica","-","-","0,01","0,01","0,01","0,01","0,01","-","-","-","-","-"
6900610,"Jujuba",99,"Não se aplica","-","-","0,00","0,01","0,01","0,01","0,00","-","-","-","-","-"
6900701,"Tablete de chocolate",99,"Não se aplica","56,00","56,67","0,11","0,30","0,39","1,87","0,04","0,75","11,00","-","0,51","-"
6900702,"Barra de chocolate",99,"Não se aplica","56,00","56,67","0,11","0,30","0,39","1,87","0,04","0,75","11,00","-","0,51","-"
6900706,"Confete",99,"Não se aplica","61,00","61,00","0,08","0,21","0,27","1,10","0,03","0,53","8,00","-","0,36","0,50"
6900801,"Chocolate em pó de qualquer marca",99,"Não se aplica","1,08","1,09","0,05","0,18","0,19","0,93","0,05","0,21","4,33","-","1,16","0,14"
6900818,"Ovomaltine",99,"Não se aplica","529,00","529,00","0,53","0,60","7,05","9,38","0,11","1,32","-","1,92","0,04","105,82"
6900821,"Achocolatado em pó",99,"Não se aplica","-","-","0,01","0,06","0,20","1,33","0,91","-","4,00","-","0,04","27,30"
6900822,"Toddynho",99,"Não se aplica","26,10","26,52","0,04","0,16","0,13","0,88","0,04","0,33","5,02","1,00","0,06","0,90"
6900901,"Bombom de qualquer marca",99,"Não se aplica","-","-","0,01","0,02","-","-","-","-","-","-","-","-"
6900904,"Trufa ",99,"Não se aplica","97,82","99,47","0,05","0,09","0,34","1,23","0,03","0,04","10,76","0,94","0,52","0,08"
6901001,"Geleia de frutas de qualquer marca ou sabor",99,"Não se aplica","-","-","0,02","0,08","0,04","0,12","0,02","-","11,00","-","0,12","8,80"
6901002,"Mousse de qualquer sabor (Geleia) ",99,"Não se aplica","160,19","162,66","0,04","0,21","0,12","1,23","0,05","0,38","15,95","0,98","0,70","0,25"
6901101,"Geleia de mocotó",99,"Não se aplica","-","-","-","0,01","-","-","-","-","1,07","-","-","-"
6901201,"Doce de frutas em pasta de qualquer sabor",99,"Não se aplica","-","9,35","0,02","0,03","0,33","0,44","0,03","-","14,70","-","0,22","68,49"
6901203,"Pasta de amendoim",99,"Não se aplica","-","-","0,07","0,11","13,40","17,19","0,54","-","74,00","-","8,99","-"
6901204,"Pessegada",99,"Não se aplica","-","38,17","0,01","0,03","0,61","0,63","0,02","-","3,00","-","0,73","2,80"
6901206,"Marmelada",99,"Não se aplica","-","-","0,02","0,08","0,04","0,12","0,02","-","11,00","-","0,12","8,80"
6901209,"Figada",99,"Não se aplica","-","1,83","0,02","0,04","0,43","0,48","0,07","-","2,00","-","0,12","1,00"
6901211,"Goiabada",99,"Não se aplica","-","9,35","0,02","0,03","0,33","0,44","0,03","-","14,70","-","0,22","68,49"
6901214,"Caju em pasta",99,"Não se aplica","-","9,35","0,02","0,03","0,33","0,44","0,03","-","14,70","-","0,22","68,49"
6901224,"Mariola",99,"Não se aplica","-","9,35","0,02","0,03","0,33","0,44","0,03","-","14,70","-","0,22","68,49"
6901301,"Doce de frutas em calda de qualquer sabor",99,"Não se aplica","-","38,17","0,01","0,03","0,61","0,63","0,02","-","3,00","-","0,73","2,80"
6901401,"Doce de frutas cristalizado de qualquer sabor",99,"Não se aplica","-","9,35","0,02","0,03","0,33","0,44","0,03","-","14,70","-","0,22","68,49"
6901501,"Melado",99,"Não se aplica","-","-","-","0,05","-","-","0,20","-","-","-","-","-"
6901602,"Mel ",99,"Não se aplica","-","-","-","0,04","0,12","0,19","0,02","-","2,00","-","-","0,50"
6901701,"Gelatina de qualquer sabor",99,"Não se aplica","-","-","0,02","0,08","0,04","0,12","0,02","-","11,00","-","0,12","8,80"
6901801,"Adoçante artificial",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6902004,"Merengue",99,"Não se aplica","-","-","0,00","0,27","0,06","1,25","0,00","0,05","2,28","-","-","-"
6902301,"Schimier de cana",99,"Não se aplica","-","-","-","0,05","-","-","0,20","-","-","-","-","-"
6902401,"Fruta seca ou desidratada",99,"Não se aplica","-","39,08","0,05","0,19","1,88","2,30","0,21","-","4,00","-","0,37","0,60"
6902402,"Passa",99,"Não se aplica","-","-","0,11","0,13","0,77","1,60","0,17","-","5,00","-","0,11","2,30"
6902601,"Pudim de qualquer sabor",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6902607,"Danette pudim",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6902701,"Manjar",99,"Não se aplica","85,82","86,88","0,07","0,38","0,19","2,02","0,08","0,48","17,33","0,90","0,37","1,64"
6902901,"Cuscuz",99,"Não se aplica","-","0,06","0,06","0,03","1,19","2,12","0,04","-","6,82","-","0,05","-"
6902902,"Cuscuz de tapioca",99,"Não se aplica","45,19","45,71","0,05","0,22","0,10","1,48","0,05","0,51","10,01","1,01","0,18","-"
6903001,"Maria-mole",99,"Não se aplica","-","-","0,02","0,02","0,27","0,59","0,15","-","5,11","-","0,23","0,89"
6903101,"Cocada",99,"Não se aplica","-","-","0,02","0,02","0,17","0,36","0,10","-","2,80","-","0,14","0,25"
6903102,"Quebra-queixo",99,"Não se aplica","-","-","0,02","0,02","0,17","0,36","0,10","-","2,80","-","0,14","0,25"
6903201,"Doce de amendoim",99,"Não se aplica","30,53","32,04","0,05","0,04","5,49","7,02","0,18","-","47,66","-","2,87","0,32"
6903202,"Pé de moleque",99,"Não se aplica","-","-","0,22","0,10","5,71","7,21","0,09","-","43,37","-","2,39","5,90"
6903203,"Paçoca",99,"Não se aplica","-","-","0,19","0,04","5,86","7,55","0,11","-","64,70","-","3,00","-"
6903204,"Torrão de amendoim",99,"Não se aplica","-","0,04","0,11","0,53","1,72","3,58","0,08","0,00","25,55","-","13,07","0,13"
6903205,"Paçoquinha de amendoim",99,"Não se aplica","-","-","0,19","0,04","5,86","7,55","0,11","-","64,70","-","3,00","-"
6903207,"Amendoim caramelizado",99,"Não se aplica","-","-","0,22","0,10","5,71","7,21","0,09","-","43,37","-","2,39","5,90"
6903208,"Amendoim amanteigado",99,"Não se aplica","-","-","0,64","0,14","12,07","16,23","0,35","-","240,00","-","8,33","-"
6903209,"Amendoim achocolatado",99,"Não se aplica","41,00","41,50","0,12","0,17","4,25","6,58","0,10","0,53","51,00","-","2,40","-"
6903303,"Amendoim apimentado",99,"Não se aplica","-","-","0,64","0,14","12,07","16,23","0,35","-","240,00","-","8,33","-"
6903304,"Amendoim cozido",99,"Não se aplica","-","-","0,26","0,06","5,26","7,44","0,15","-","75,00","-","4,10","-"
6903601,"Brigadeiro",99,"Não se aplica","87,31","89,36","0,09","0,39","0,22","1,99","0,05","0,41","10,48","0,12","0,24","2,45"
6903701,"Bomba de qualquer tipo",99,"Não se aplica","250,49","254,72","0,17","0,28","1,09","2,41","0,05","0,41","50,88","0,97","0,98","0,21"
6903801,"Mil folhas",99,"Não se aplica","131,16","133,57","0,12","0,13","0,85","1,36","0,02","0,10","30,21","0,49","0,57","0,19"
6903901,"Queijadinha",99,"Não se aplica","-","-","0,02","0,02","0,17","0,36","0,10","-","2,80","-","0,14","0,25"
6904101,"Doce à base de ovos",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6904104,"Caçarola italiana",99,"Não se aplica","85,82","86,88","0,07","0,38","0,19","2,02","0,08","0,48","17,33","0,90","0,37","1,64"
6904105,"Quindim",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6904108,"Fios de ovos",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6904201,"Doce à base de leite",99,"Não se aplica","72,70","73,87","0,09","0,41","0,21","2,07","0,05","0,44","10,96","0,13","0,16","2,59"
6904202,"Pavê de qualquer sabor",99,"Não se aplica","230,15","234,49","0,06","0,17","0,47","1,35","0,06","0,36","24,27","0,67","0,53","0,16"
6904203,"Ambrosia",99,"Não se aplica","44,83","45,43","0,04","0,20","0,09","1,28","0,04","0,46","10,59","0,83","0,24","0,26"
6904204,"Leite geleificado",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6904205,"Chandele de qualquer sabor",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6904302,"Mumu ",99,"Não se aplica","72,70","73,87","0,09","0,41","0,21","2,07","0,05","0,44","10,96","0,13","0,16","2,59"
6904401,"Canudinho recheado",99,"Não se aplica","0,87","8,07","0,03","0,05","0,95","1,44","0,08","-","28,33","-","0,08","2,92"
6904501,"Sarolho",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6904502,"Beiju",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6904601,"Schimier de fruta (exceto de cana)",99,"Não se aplica","-","-","0,02","0,08","0,04","0,12","0,02","-","11,00","-","0,12","8,80"
6904701,"Beijo de moça",99,"Não se aplica","-","-","-","0,02","-","-","-","-","-","-","-","-"
6904801,"Picolé ensacado",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","0,70"
6904807,"Geladinho",99,"Não se aplica","-","0,50","0,02","0,01","0,08","0,09","0,01","-","1,13","-","0,11","1,83"
6905001,"Churro",99,"Não se aplica","191,56","195,32","0,21","0,15","1,59","2,21","0,01","0,05","55,34","0,40","0,68","-"
6905101,"Pamonha",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6905401,"Algodão-doce",99,"Não se aplica","-","-","-","0,02","-","-","-","-","-","-","-","-"
6905603,"Io-Iô crem (chocolate em creme)",99,"Não se aplica","1,00","1,00","0,03","0,09","0,25","1,42","0,02","0,06","4,00","-","2,63","0,20"
6905801,"Ovo de páscoa",99,"Não se aplica","56,00","56,67","0,11","0,30","0,39","1,87","0,04","0,75","11,00","-","0,51","-"
6905804,"Kinder ovo",99,"Não se aplica","56,00","56,67","0,11","0,30","0,39","1,87","0,04","0,75","11,00","-","0,51","-"
6905901,"Torrone",99,"Não se aplica","-","0,04","0,11","0,53","1,72","3,58","0,08","0,00","25,55","-","13,07","0,13"
6906001,"Arroz-doce",99,"Não se aplica","19,43","19,72","0,08","0,13","0,52","1,55","0,05","0,31","16,42","0,69","0,05","-"
6906404,"Polpa de coco",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","1,60"
6906501,"Diet shake",99,"Não se aplica","803,11","803,22","1,61","0,70","25,00","29,62","2,14","4,29","588,80","3,57","24,12","64,29"
6906502,"Concentrado alimentar diet shake",99,"Não se aplica","803,11","803,22","1,61","0,70","25,00","29,62","2,14","4,29","588,80","3,57","24,12","64,29"
6906602,"Açúcar ",99,"Não se aplica","-","-","-","0,02","-","-","-","-","-","-","-","-"
6907001,"Açúcar light",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6907201,"Barra de cereais",99,"Não se aplica","607,36","607,49","1,02","1,15","13,51","14,22","1,35","-","178,46","-","3,20","0,10"
6907202,"Barra de cereais salgada",99,"Não se aplica","607,36","607,49","1,02","1,15","13,51","14,22","1,35","-","178,46","-","3,20","0,10"
6907203,"Barra de cereais doce",99,"Não se aplica","607,36","607,49","1,02","1,15","13,51","14,22","1,35","-","178,46","-","3,20","0,10"
6907301,"Sobremesa de qualquer tipo (exceto infantil)",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6907401,"Rabanada",99,"Não se aplica","40,00","-","0,02","0,19","0,60","-","0,05","-","-","-","-","-"
6907501,"Milk shake ",99,"Não se aplica","76,22","77,11","0,03","0,19","0,14","0,79","0,04","0,34","4,37","0,77","0,17","0,40"
6907901,"Geleia diet",99,"Não se aplica","-","0,32","0,01","0,01","0,21","0,29","0,03","-","13,20","-","0,15","32,34"
6908001,"Doce de frutas diet",99,"Não se aplica","-","0,32","0,01","0,01","0,21","0,29","0,03","-","13,20","-","0,15","32,34"
6908401,"Pastéis de santa clara",99,"Não se aplica","64,57","65,21","0,05","0,27","0,09","1,62","0,06","0,60","15,36","1,02","0,32","-"
6908501,"Suspiro",99,"Não se aplica","-","-","0,00","0,27","0,06","1,25","0,00","0,05","2,28","-","-","-"
6909301,"Doce de frutas cristalizado de qualquer sabor diet",99,"Não se aplica","-","0,32","0,01","0,01","0,21","0,29","0,03","-","13,20","-","0,15","32,34"
6909601,"Sorvete de qualquer sabor industrializado light",99,"Não se aplica","101,02","105,68","0,04","0,21","0,13","1,39","0,04","0,33","5,00","0,60","0,21","1,00"
6909701,"Sorvete de qualquer sabor industrializado diet",99,"Não se aplica","116,00","117,58","0,04","0,24","0,12","0,87","0,05","0,39","5,00","0,44","0,30","0,60"
6909803,"Bala light",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6909901,"Chiclete diet",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6909903,"Bala diet",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6910002,"Barra de chocolate light",99,"Não se aplica","0,62","0,65","0,12","0,44","0,85","2,99","0,08","0,62","19,49","-","4,47","0,87"
6910102,"Barra de chocolate diet",99,"Não se aplica","0,62","0,65","0,12","0,44","0,85","2,99","0,08","0,62","19,49","-","4,47","0,87"
6910221,"Achocolatado em pó light",99,"Não se aplica","4,72","4,68","0,28","1,06","0,83","7,57","0,26","1,93","28,74","-","0,02","2,22"
6910321,"Achocolatado em pó diet",99,"Não se aplica","4,63","4,68","0,28","1,06","0,83","7,57","0,26","1,93","28,74","-","0,02","2,22"
6910322,"Toddynho diet",99,"Não se aplica","26,86","27,26","0,05","0,21","0,14","1,45","0,11","0,46","5,66","0,96","0,07","2,36"
6910401,"Bombom de qualquer marca light",99,"Não se aplica","-","-","0,01","0,02","-","-","-","-","-","-","-","-"
6910501,"Bombom de qualquer marca diet",99,"Não se aplica","-","-","0,01","0,02","-","-","-","-","-","-","-","-"
6910502,"Bombom caramelizado de qualquer marca diet",99,"Não se aplica","-","-","0,01","0,02","-","-","-","-","-","-","-","-"
6910601,"Geleia de frutas de qualquer marca ou sabor light",99,"Não se aplica","-","0,26","0,02","0,03","0,17","0,17","0,04","-","1,90","-","-","0,06"
6910604,"Geleia light",99,"Não se aplica","-","0,26","0,02","0,03","0,17","0,17","0,04","-","1,90","-","-","0,06"
6910605,"Geleia de frutas light",99,"Não se aplica","-","0,26","0,02","0,03","0,17","0,17","0,04","-","1,90","-","-","0,06"
6910701,"Doce de frutas em barra ou pasta light",99,"Não se aplica","-","0,26","0,02","0,03","0,17","0,17","0,04","-","1,90","-","-","0,06"
6910702,"Doce de frutas em pasta light",99,"Não se aplica","-","0,26","0,02","0,03","0,17","0,17","0,04","-","1,90","-","-","0,06"
6910801,"Pudim de qualquer sabor light",99,"Não se aplica","84,57","85,04","0,03","0,27","0,08","1,22","0,06","0,60","15,36","1,22","0,29","-"
6910808,"Pudim danette light",99,"Não se aplica","84,57","85,04","0,03","0,27","0,08","1,22","0,06","0,60","15,36","1,22","0,29","-"
6910901,"Pudim de qualquer sabor diet",99,"Não se aplica","84,57","85,04","0,03","0,27","0,08","1,22","0,06","0,60","15,36","1,22","0,29","-"
6911201,"Doce de leite light",99,"Não se aplica","31,53","31,98","0,10","0,43","0,23","2,39","0,08","1,12","11,48","0,07","0,08","-"
6911301,"Doce de leite diet",99,"Não se aplica","31,53","31,98","0,10","0,43","0,23","2,39","0,08","1,12","11,48","0,07","0,08","-"
6912501,"Barra de cereais diet",99,"Não se aplica","-","1,30","0,23","0,10","2,26","3,43","0,28","-","49,60","-","1,18","37,08"
6912502,"Barra de cereais doce diet",99,"Não se aplica","-","1,30","0,23","0,10","2,26","3,43","0,28","-","49,60","-","1,18","37,08"
6912801,"Milk shake diet",99,"Não se aplica","803,11","803,22","1,61","0,70","25,00","29,62","2,14","4,29","588,80","3,57","24,12","64,29"
6913001,"Cocada diet",99,"Não se aplica","-","-","0,02","0,02","0,17","0,36","0,10","-","2,80","-","0,14","0,25"
6913101,"Doce de amendoim diet",99,"Não se aplica","-","-","0,09","0,09","13,83","17,68","0,46","-","120,00","-","6,94","0,80"
6913103,"Paçoca diet",99,"Não se aplica","-","-","0,09","0,09","13,83","17,68","0,46","-","120,00","-","6,94","0,80"
6913108,"Amendoim amanteigado diet",99,"Não se aplica","71,01","72,40","0,17","0,04","3,20","4,33","0,09","0,02","63,81","0,15","2,45","-"
6913801,"Doce à base de leite diet",99,"Não se aplica","31,53","31,98","0,10","0,43","0,23","2,39","0,08","1,12","11,48","0,07","0,08","-"
6913901,"Gelatina de qualquer sabor light",99,"Não se aplica","-","0,26","0,02","0,03","0,17","0,17","0,04","-","1,90","-","-","0,06"
6914001,"Adoçante light",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6914002,"Adoçante em pó light",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
6914003,"Adoçante liquido light",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-","-"
"Sais e condimentos",,,,,,,,,,,,,,,
7001501,"Mostarda molho",99,"Não se aplica","-","3,50","0,34","0,03","0,52","0,67","0,06","-","7,00","-","0,36","1,50"
7002304,"Hortelã",99,"Não se aplica","-","-","0,01","0,00","-","-","-","-","1,00","-","-","-"
7002401,"Alcaparra em conserva",99,"Não se aplica","-","6,92","0,02","0,14","0,65","0,97","0,02","-","23,00","-","0,88","4,30"
7002601,"Coentro",99,"Não se aplica","-","292,50","1,25","1,50","10,71","10,71","0,61","-","274,00","-","1,03","566,70"
7003601,"Molho de soja",99,"Não se aplica","-","-","0,03","0,17","2,20","3,70","0,15","-","14,00","-","-","-"
7003604,"Shoyo",99,"Não se aplica","-","-","0,03","0,17","2,20","3,70","0,15","-","14,00","-","-","-"
7003801,"Leite de coco",99,"Não se aplica","-","-","0,02","-","0,67","0,99","0,03","-","14,03","-","0,01","1,10"
7004301,"Maionese (molho)",99,"Não se aplica","9,89","13,68","0,01","0,02","0,02","0,11","0,02","0,05","4,04","0,07","1,96","0,12"
7004701,"Massa de tomate",99,"Não se aplica","-","25,50","0,03","0,08","1,47","1,65","0,13","-","11,00","-","1,95","10,60"
7004801,"Molho de tomate",99,"Não se aplica","-","17,42","0,02","0,07","0,98","1,14","0,10","-","11,00","-","1,42","7,00"
7004802,"Ketchup",99,"Não se aplica","-","46,67","0,01","0,13","1,43","1,73","0,15","-","10,00","-","1,46","15,10"
7004803,"Catchup",99,"Não se aplica","-","46,67","0,01","0,13","1,43","1,73","0,15","-","10,00","-","1,46","15,10"
7006101,"Pimenta em pó",99,"Não se aplica","-","15,00","0,11","0,24","1,14","1,14","0,29","-","10,00","-","0,72","21,00"
7007101,"Tucupi em caldo sem pimenta",99,"Não se aplica","21,28","10,64","0,00","0,00","0,00","0,01","0,00","-","0,05","-","0,01","0,10"
