" Tabela 3 - Minerais na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Cálcio 
(mg)","Mag-
nésio 
(mg)","Man-
ganês 
(mg)","Fósforo 
(mg)","Ferro 
(mg)","Sódio 
(mg)","Sódio 
de 
adição 
(mg)","Potás-
sio
(mg)","Co-
bre 
(mg)","Zinco
(mg)","Selê-
nio
(mcg)"
"Cereais e leguminosas",,,,,,,,,,,,,,
6900604,"Caramelo (bala)",99,"Não se aplica","138,00","17,00","0,01","114,00","0,14","245,00","-","214,00","0,02","0,44","1,80"
6900605,"Drops",99,"Não se aplica","3,00","3,00","0,01","3,00","0,30","38,00","-","5,00","0,03","0,01","0,60"
6900606,"Pastilha",99,"Não se aplica","3,00","1,00","0,01","1,00","0,40","44,00","-","5,00","0,01","-","0,80"
6900607,"Pirulito",99,"Não se aplica","3,00","3,00","0,01","3,00","0,30","38,00","-","5,00","0,03","0,01","0,60"
6900609,"Goma de mascar",99,"Não se aplica","3,00","1,00","0,01","1,00","0,40","44,00","-","5,00","0,01","-","0,80"
6900610,"Jujuba",99,"Não se aplica","3,00","2,00","0,04","4,00","0,13","50,00","-","37,00","0,03","0,05","1,10"
6900701,"Tablete de chocolate",99,"Não se aplica","189,00","63,00","0,47","208,00","2,35","79,00","-","372,00","0,49","2,30","4,50"
6900702,"Barra de chocolate",99,"Não se aplica","189,00","63,00","0,47","208,00","2,35","79,00","-","372,00","0,49","2,30","4,50"
6900706,"Confete",99,"Não se aplica","105,00","44,00","0,33","146,00","1,11","61,00","-","261,00","0,34","1,61","3,30"
6900801,"Chocolate em pó de qualquer marca",99,"Não se aplica","149,79","38,71","0,19","132,42","0,78","350,14","-","840,69","0,19","0,81","3,87"
6900818,"Ovomaltine",99,"Não se aplica","1235,00","71,00","0,27","847,00","9,52","353,00","-","1235,00","0,32","0,71","1,60"
6900821,"Achocolatado em pó",99,"Não se aplica","455,00","53,00","0,71","86,00","-","136,00","-","280,00","0,91","6,82","1,90"
6900822,"Toddynho",99,"Não se aplica","112,44","13,05","0,08","101,39","0,24","60,23","-","167,65","0,07","0,41","1,91"
6900901,"Bombom de qualquer marca",99,"Não se aplica","3,00","-","-","-","0,01","11,00","-","4,00","0,00","0,04","0,60"
6900904,"Trufa ",99,"Não se aplica","35,00","89,79","0,62","111,74","2,42","14,32","-","293,23","0,54","1,29","3,37"
6901001,"Geleia de frutas de qualquer marca ou sabor",99,"Não se aplica","20,00","4,00","0,04","19,00","0,49","32,00","-","77,00","0,10","0,06","2,00"
6901002,"Mousse de qualquer sabor (Geleia) ",99,"Não se aplica","49,08","28,74","0,17","97,84","0,97","49,69","-","214,52","0,15","0,71","9,32"
6901101,"Geleia de mocotó",99,"Não se aplica","4,29","1,47","-","1,38","0,04","9,01","-","1,81","0,08","-","1,57"
6901201,"Doce de frutas em pasta de qualquer sabor",99,"Não se aplica","6,10","6,60","0,05","12,00","0,09","0,60","-","126,50","0,07","0,07","0,60"
6901203,"Pasta de amendoim",99,"Não se aplica","43,00","154,00","1,47","358,00","1,87","459,00","-","649,00","0,47","2,91","5,60"
6901204,"Pessegada",99,"Não se aplica","3,00","5,00","0,05","12,00","0,27","6,00","-","94,00","0,06","0,09","0,30"
6901206,"Marmelada",99,"Não se aplica","20,00","4,00","0,04","19,00","0,49","32,00","-","77,00","0,10","0,06","2,00"
6901209,"Figada",99,"Não se aplica","27,00","10,00","0,08","10,00","0,28","1,00","-","99,00","0,11","0,11","0,20"
6901211,"Goiabada",99,"Não se aplica","6,10","6,60","0,05","12,00","0,09","0,60","-","126,50","0,07","0,07","0,60"
6901214,"Caju em pasta",99,"Não se aplica","6,10","6,60","0,05","12,00","0,09","0,60","-","126,50","0,07","0,07","0,60"
6901224,"Mariola",99,"Não se aplica","6,10","6,60","0,05","12,00","0,09","0,60","-","126,50","0,07","0,07","0,60"
6901301,"Doce de frutas em calda de qualquer sabor",99,"Não se aplica","3,00","5,00","0,05","12,00","0,27","6,00","-","94,00","0,06","0,09","0,30"
6901401,"Doce de frutas cristalizado de qualquer sabor",99,"Não se aplica","6,10","6,60","0,05","12,00","0,09","0,60","-","126,50","0,07","0,07","0,60"
6901501,"Melado",99,"Não se aplica","102,00","115,00","2,62","74,00","5,40","4,00","-","395,00","0,84","0,30","-"
6901602,"Mel ",99,"Não se aplica","6,00","2,00","0,08","4,00","0,42","4,00","-","52,00","0,04","0,22","0,80"
6901701,"Gelatina de qualquer sabor",99,"Não se aplica","20,00","4,00","0,04","19,00","0,49","32,00","-","77,00","0,10","0,06","2,00"
6901801,"Adoçante artificial",99,"Não se aplica","-","-","-","-","-","240,00","-","-","-","-","-"
6902004,"Merengue",99,"Não se aplica","4,87","6,27","0,01","8,56","0,07","94,73","-","164,82","0,01","0,02","11,90"
6902301,"Schimier de cana",99,"Não se aplica","102,00","115,00","2,62","74,00","5,40","4,00","-","395,00","0,84","0,30","-"
6902401,"Fruta seca ou desidratada",99,"Não se aplica","43,00","41,00","0,30","69,00","0,93","2,00","-","732,00","0,28","0,44","0,30"
6902402,"Passa",99,"Não se aplica","50,00","32,00","0,30","101,00","1,88","11,00","-","749,00","0,32","0,22","0,60"
6902601,"Pudim de qualquer sabor",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6902607,"Danette pudim",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6902701,"Manjar",99,"Não se aplica","201,26","23,38","0,20","206,83","0,55","129,47","-","289,85","0,04","0,97","14,99"
6902901,"Cuscuz",99,"Não se aplica","10,74","15,82","0,27","58,01","0,37","261,48","-","57,49","0,09","0,28","3,75"
6902902,"Cuscuz de tapioca",99,"Não se aplica","102,17","9,79","0,01","98,87","0,23","100,38","-","137,70","0,01","0,48","7,16"
6903001,"Maria-mole",99,"Não se aplica","9,93","28,32","1,39","61,18","1,11","148,99","-","194,42","0,18","1,03","9,72"
6903101,"Cocada",99,"Não se aplica","8,30","17,68","0,87","37,45","0,68","107,35","-","119,68","0,11","0,71","6,25"
6903102,"Quebra-queixo",99,"Não se aplica","8,30","17,68","0,87","37,45","0,68","107,35","-","119,68","0,11","0,71","6,25"
6903201,"Doce de amendoim",99,"Não se aplica","30,14","70,51","0,73","158,43","0,61","221,83","-","291,27","0,22","1,44","1,68"
6903202,"Pé de moleque",99,"Não se aplica","50,00","64,17","0,73","141,00","4,50","21,00","-","236,85","0,47","2,31","3,10"
6903203,"Paçoca",99,"Não se aplica","32,87","76,73","0,95","158,40","1,72","3,07","-","290,53","0,30","1,49","3,70"
6903204,"Torrão de amendoim",99,"Não se aplica","133,59","134,44","1,16","242,70","1,96","7,08","-","370,23","0,51","1,59","2,26"
6903205,"Paçoquinha de amendoim",99,"Não se aplica","32,87","76,73","0,95","158,40","1,72","3,07","-","290,53","0,30","1,49","3,70"
6903207,"Amendoim caramelizado",99,"Não se aplica","50,00","64,17","0,73","141,00","4,50","21,00","-","236,85","0,47","2,31","3,10"
6903208,"Amendoim amanteigado",99,"Não se aplica","92,00","168,00","1,93","376,00","4,58","18,00","-","705,00","1,14","3,27","7,20"
6903209,"Amendoim achocolatado",99,"Não se aplica","104,00","96,00","0,95","212,00","1,31","41,00","-","502,00","0,54","2,60","5,40"
6903303,"Amendoim apimentado",99,"Não se aplica","92,00","168,00","1,93","376,00","4,58","18,00","-","705,00","1,14","3,27","7,20"
6903304,"Amendoim cozido",99,"Não se aplica","55,00","102,00","1,02","198,00","1,01","751,00","-","180,00","0,50","1,83","4,40"
6903601,"Brigadeiro",99,"Não se aplica","266,19","28,88","0,04","241,57","0,33","128,60","-","373,64","0,05","0,95","13,87"
6903701,"Bomba de qualquer tipo",99,"Não se aplica","45,49","9,84","0,13","93,20","1,18","50,56","-","92,24","0,04","0,53","15,22"
6903801,"Mil folhas",99,"Não se aplica","32,51","6,18","0,10","40,94","0,67","199,14","-","56,87","0,03","0,21","5,30"
6903901,"Queijadinha",99,"Não se aplica","8,30","17,68","0,87","37,45","0,68","107,35","-","119,68","0,11","0,71","6,25"
6904101,"Doce à base de ovos",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6904104,"Caçarola italiana",99,"Não se aplica","201,26","23,38","0,20","206,83","0,55","129,47","-","289,85","0,04","0,97","14,99"
6904105,"Quindim",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6904108,"Fios de ovos",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6904201,"Doce à base de leite",99,"Não se aplica","282,85","25,89","0,01","251,97","0,19","126,48","-","369,49","0,02","0,94","14,74"
6904202,"Pavê de qualquer sabor",99,"Não se aplica","66,08","11,99","0,08","96,19","0,90","151,95","-","121,43","0,03","0,51","6,74"
6904203,"Ambrosia",99,"Não se aplica","83,71","8,84","0,15","85,23","0,27","46,10","-","114,64","0,01","0,43","7,48"
6904204,"Leite geleificado",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6904205,"Chandele de qualquer sabor",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6904302,"Mumu ",99,"Não se aplica","282,85","25,89","0,01","251,97","0,19","126,48","-","369,49","0,02","0,94","14,74"
6904401,"Canudinho recheado",99,"Não se aplica","2,50","23,94","0,29","61,85","0,45","62,16","-","190,44","0,09","0,59","1,75"
6904501,"Sarolho",99,"Não se aplica","4,00","-","-","-","0,16","1,50","-","-","-","-","-"
6904502,"Beiju",99,"Não se aplica","4,00","-","-","-","0,16","1,50","-","-","-","-","-"
6904601,"Schimier de fruta (exceto de cana)",99,"Não se aplica","20,00","4,00","0,04","19,00","0,49","32,00","-","77,00","0,10","0,06","2,00"
6904701,"Beijo de moça",99,"Não se aplica","1,00","-","-","-","0,01","-","-","2,00","-","-","0,60"
6904801,"Picolé ensacado",99,"Não se aplica","-","1,00","-","-","0,54","7,00","-","15,00","-","0,15","0,20"
6904807,"Geladinho",99,"Não se aplica","3,81","1,47","0,07","2,26","0,06","8,64","-","14,88","0,01","0,09","0,26"
6905001,"Churro",99,"Não se aplica","12,71","6,96","0,18","35,70","1,25","149,03","-","35,97","0,05","0,22","9,49"
6905101,"Pamonha",99,"Não se aplica","4,00","15,00","0,12","55,00","0,40","132,00","-","125,00","0,03","0,40","-"
6905401,"Algodão-doce",99,"Não se aplica","1,00","-","-","-","0,01","-","-","2,00","-","-","0,60"
6905603,"Io-Iô crem (chocolate em creme)",99,"Não se aplica","49,00","48,00","0,37","97,00","1,30","346,00","-","284,00","0,35","0,83","2,30"
6905801,"Ovo de páscoa",99,"Não se aplica","189,00","63,00","0,47","208,00","2,35","79,00","-","372,00","0,49","2,30","4,50"
6905804,"Kinder ovo",99,"Não se aplica","189,00","63,00","0,47","208,00","2,35","79,00","-","372,00","0,49","2,30","4,50"
6905901,"Torrone",99,"Não se aplica","133,59","134,44","1,16","242,70","1,96","7,08","-","370,23","0,51","1,59","2,26"
6906001,"Arroz-doce",99,"Não se aplica","82,04","10,74","0,15","76,17","0,39","50,79","-","109,98","0,03","0,43","4,88"
6906404,"Polpa de coco",99,"Não se aplica","7,00","41,00","0,77","107,00","1,70","11,00","-","370,00","0,42","0,90","-"
6906501,"Diet shake",99,"Não se aplica","536,58","357,14","0,27","366,60","22,86","395,27","-","928,75","0,71","16,07","11,73"
6906502,"Concentrado alimentar diet shake",99,"Não se aplica","536,58","357,14","0,27","366,60","22,86","395,27","-","928,75","0,71","16,07","11,73"
6906602,"Açúcar ",99,"Não se aplica","1,00","-","-","-","0,01","-","-","2,00","-","-","0,60"
6907001,"Açúcar light",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-"
6907201,"Barra de cereais",99,"Não se aplica","540,54","28,55","0,68","76,79","4,86","284,16","-","80,58","0,08","4,05","11,34"
6907202,"Barra de cereais salgada",99,"Não se aplica","540,54","28,55","0,68","76,79","4,86","284,16","-","80,58","0,08","4,05","11,34"
6907203,"Barra de cereais doce",99,"Não se aplica","540,54","28,55","0,68","76,79","4,86","284,16","-","80,58","0,08","4,05","11,34"
6907301,"Sobremesa de qualquer tipo (exceto infantil)",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6907401,"Rabanada",99,"Não se aplica","101,00","13,00","-","102,00","0,50","85,00","-","159,00","-","0,60","-"
6907501,"Milk shake ",99,"Não se aplica","103,02","20,40","0,06","101,82","0,38","64,45","-","181,47","0,09","0,60","1,89"
6907901,"Geleia diet",99,"Não se aplica","11,05","7,52","0,21","13,20","0,23","1,20","-","85,44","0,03","0,08","0,22"
6908001,"Doce de frutas diet",99,"Não se aplica","11,05","7,52","0,21","13,20","0,23","1,20","-","85,44","0,03","0,08","0,22"
6908401,"Pastéis de santa clara",99,"Não se aplica","89,20","9,49","0,01","107,71","0,35","60,62","-","131,17","0,01","0,55","10,95"
6908501,"Suspiro",99,"Não se aplica","4,87","6,27","0,01","8,56","0,07","94,73","-","164,82","0,01","0,02","11,90"
6909301,"Doce de frutas cristalizado de qualquer sabor diet",99,"Não se aplica","11,05","7,52","0,21","13,20","0,23","1,20","-","85,44","0,03","0,08","0,22"
6909601,"Sorvete de qualquer sabor industrializado light",99,"Não se aplica","149,33","16,00","0,04","97,01","0,32","75,00","-","192,35","0,05","0,62","2,00"
6909701,"Sorvete de qualquer sabor industrializado diet",99,"Não se aplica","128,00","14,00","0,01","105,00","0,09","48,00","-","199,00","0,02","0,69","2,60"
6909803,"Bala light",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-"
6909901,"Chiclete diet",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-"
6909903,"Bala diet",99,"Não se aplica","-","-","-","-","-","-","-","-","-","-","-"
6910002,"Barra de chocolate light",99,"Não se aplica","246,46","107,47","0,97","285,97","3,24","165,82","-","495,73","0,70","2,59","5,99"
6910102,"Barra de chocolate diet",99,"Não se aplica","246,46","107,47","0,97","285,97","3,24","165,82","-","495,73","0,70","2,59","5,99"
6910221,"Achocolatado em pó light",99,"Não se aplica","664,34","146,47","0,52","709,95","2,21","1236,82","-","1254,96","0,53","3,70","17,08"
6910321,"Achocolatado em pó diet",99,"Não se aplica","664,18","146,46","0,52","709,95","2,20","978,44","-","1254,91","0,53","3,70","17,08"
6910322,"Toddynho diet",99,"Não se aplica","147,69","17,76","0,08","115,69","0,17","71,79","-","188,49","0,09","0,97","4,12"
6910401,"Bombom de qualquer marca light",99,"Não se aplica","3,00","-","-","-","0,01","11,00","-","4,00","0,00","0,04","0,60"
6910501,"Bombom de qualquer marca diet",99,"Não se aplica","3,00","-","-","-","0,01","11,00","-","4,00","0,00","0,04","0,60"
6910502,"Bombom caramelizado de qualquer marca diet",99,"Não se aplica","3,00","-","-","-","0,01","11,00","-","4,00","0,00","0,04","0,60"
6910601,"Geleia de frutas de qualquer marca ou sabor light",99,"Não se aplica","9,23","6,76","0,23","6,97","0,16","2,01","-","86,85","0,02","0,03","0,28"
6910604,"Geleia light",99,"Não se aplica","9,23","6,76","0,23","6,97","0,16","2,01","-","86,85","0,02","0,03","0,28"
6910605,"Geleia de frutas light",99,"Não se aplica","9,23","6,76","0,23","6,97","0,16","2,01","-","86,85","0,02","0,03","0,28"
6910701,"Doce de frutas em barra ou pasta light",99,"Não se aplica","9,23","6,76","0,23","6,97","0,16","2,01","-","86,85","0,02","0,03","0,28"
6910702,"Doce de frutas em pasta light",99,"Não se aplica","9,23","6,76","0,23","6,97","0,16","2,01","-","86,85","0,02","0,03","0,28"
6910801,"Pudim de qualquer sabor light",99,"Não se aplica","93,20","10,16","0,01","110,38","0,35","63,28","-","135,84","0,01","0,57","10,69"
6910808,"Pudim danette light",99,"Não se aplica","93,20","10,16","0,01","110,38","0,35","63,28","-","135,84","0,01","0,57","10,69"
6910901,"Pudim de qualquer sabor diet",99,"Não se aplica","93,20","10,16","0,01","110,38","0,35","63,28","-","135,84","0,01","0,57","10,69"
6911201,"Doce de leite light",99,"Não se aplica","274,57","24,18","0,01","221,14","0,07","94,30","-","345,17","0,03","0,94","8,06"
6911301,"Doce de leite diet",99,"Não se aplica","274,57","24,18","0,01","221,14","0,07","94,30","-","345,17","0,03","0,94","8,06"
6912501,"Barra de cereais diet",99,"Não se aplica","74,97","68,29","2,27","156,08","1,88","230,51","-","421,89","0,29","1,21","12,26"
6912502,"Barra de cereais doce diet",99,"Não se aplica","74,97","68,29","2,27","156,08","1,88","230,51","-","421,89","0,29","1,21","12,26"
6912801,"Milk shake diet",99,"Não se aplica","536,58","357,14","0,27","366,60","22,86","395,27","-","928,75","0,71","16,07","11,73"
6913001,"Cocada diet",99,"Não se aplica","8,30","17,68","0,87","37,45","0,68","107,35","-","119,68","0,11","0,71","6,25"
6913101,"Doce de amendoim diet",99,"Não se aplica","61,00","176,00","1,85","397,00","1,52","6,00","-","726,00","0,53","3,28","3,30"
6913103,"Paçoca diet",99,"Não se aplica","61,00","176,00","1,85","397,00","1,52","6,00","-","726,00","0,53","3,28","3,30"
6913108,"Amendoim amanteigado diet",99,"Não se aplica","28,39","46,65","0,55","110,61","1,53","309,23","-","191,09","0,34","0,92","3,86"
6913801,"Doce à base de leite diet",99,"Não se aplica","274,57","24,18","0,01","221,14","0,07","94,30","-","345,17","0,03","0,94","8,06"
6913901,"Gelatina de qualquer sabor light",99,"Não se aplica","9,23","6,76","0,23","6,97","0,16","2,01","-","86,85","0,02","0,03","0,28"
6914001,"Adoçante light",99,"Não se aplica","-","-","-","-","0,04","-","-","4,00","-","0,01","0,50"
6914002,"Adoçante em pó light",99,"Não se aplica","-","-","-","-","0,04","-","-","4,00","-","0,01","0,50"
6914003,"Adoçante liquido light",99,"Não se aplica","-","-","-","-","-","240,00","-","-","-","-","-"
"Sais e condimentos",,,,,,,,,,,,,,
7001501,"Mostarda molho",99,"Não se aplica","58,00","49,00","0,42","106,00","1,51","1135,00","-","138,00","0,09","0,64","32,90"
7002304,"Hortelã",99,"Não se aplica","2,00","1,00","0,04","-","0,08","1,00","-","9,01","0,02","0,04","-"
7002401,"Alcaparra em conserva",99,"Não se aplica","40,00","33,00","0,08","10,00","1,67","2964,00","-","40,00","0,37","0,32","1,20"
7002601,"Coentro",99,"Não se aplica","1246,00","694,00","6,36","481,00","42,46","211,00","-","4466,00","1,79","4,72","29,30"
7003601,"Molho de soja",99,"Não se aplica","19,00","43,00","0,42","125,00","1,93","5637,00","-","217,00","0,10","0,52","0,50"
7003604,"Shoyo",99,"Não se aplica","19,00","43,00","0,42","125,00","1,93","5637,00","-","217,00","0,10","0,52","0,50"
7003801,"Leite de coco",99,"Não se aplica","4,01","32,07","0,81","59,13","0,81","12,03","-","232,53","0,24","0,59","3,71"
7004301,"Maionese (molho)",99,"Não se aplica","5,76","0,78","0,02","11,68","0,13","831,34","-","7,92","0,01","0,08","12,02"
7004701,"Massa de tomate",99,"Não se aplica","18,00","23,00","0,17","40,00","1,78","393,00","-","439,00","0,29","0,36","0,70"
7004801,"Molho de tomate",99,"Não se aplica","13,00","16,00","0,11","26,00","1,02","524,00","-","331,00","0,12","0,20","0,20"
7004802,"Ketchup",99,"Não se aplica","18,00","19,00","0,13","33,00","0,51","1114,00","-","382,00","0,18","0,26","0,30"
7004803,"Catchup",99,"Não se aplica","18,00","19,00","0,13","33,00","0,51","1114,00","-","382,00","0,18","0,26","0,30"
7006101,"Pimenta em pó",99,"Não se aplica","437,00","194,00","5,63","173,00","28,86","44,00","-","1259,00","1,13","1,42","3,10"
7007101,"Tucupi em caldo sem pimenta",99,"Não se aplica","2,40","0,61","0,00","0,47","0,01","400,06","-","3,33","0,00","0,00","0,02"
7007502,"Creme de queijo",99,"Não se aplica","287,52","15,68","0,03","217,10","0,24","208,56","-","138,69","0,02","1,19","9,55"
7007701,"Caldo de peixe",99,"Não se aplica","30,00","1,00","0,03","30,00","0,21","318,00","-","86,00","0,05","0,10","0,70"
7007901,"Caldo de tomate",99,"Não se aplica","6,20","5,16","0,06","11,02","0,43","305,05","-","88,30","0,05","0,09","1,95"
7009102,"Gergelim",99,"Não se aplica","60,00","345,00","1,44","667,00","6,36","47,00","-","370,00","1,40","6,73","97,50"
7010301,"Tomate seco",99,"Não se aplica","47,00","81,00","0,47","139,00","2,68","266,00","-","1565,00","0,47","0,78","3,00"
7010401,"Maionese (molho) light",99,"Não se aplica","12,72","1,86","0,02","11,99","0,19","876,69","-","14,56","0,01","0,08","5,85"
7010501,"Molho de soja light",99,"Não se aplica","17,04","34,08","0,43","110,26","2,03","3341,01","-","180,43","0,12","0,37","0,80"
7010601,"Leite de coco light",99,"Não se aplica","4,01","32,07","0,81","59,13","0,81","12,03","-","232,53","0,24","0,59","3,71"
7079202,"Vinagrete",99,"Não se aplica","19,92","10,15","0,16","19,03","0,65","1299,77","-","156,70","0,04","0,17","0,15"
"Carnes e vísceras",,,,,,,,,,,,,,
7100101,"Filé-mignon",2,"Cozido(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100101,"Filé-mignon",3,"Grelhado(a)/brasa/churrasco","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100101,"Filé-mignon",4,"Assado(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100101,"Filé-mignon",5,"Frito(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","32,88"
7100101,"Filé-mignon",6,"Empanado(a)/à milanesa","7,67","20,98","0,04","197,80","2,74","41,09","333,00","256,76","0,08","5,23","34,38"
7100101,"Filé-mignon",7,"Refogado(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","32,88"
7100101,"Filé-mignon",8,"Molho vermelho","8,20","19,20","0,03","159,60","2,23","137,60","333,00","267,80","0,08","4,20","25,40"
7100101,"Filé-mignon",9,"Molho branco","28,48","18,31","0,02","174,09","2,09","53,72","333,00","231,65","0,06","4,25","26,53"
7100101,"Filé-mignon",11,"Com manteiga/óleo","7,64","20,05","0,01","193,64","2,53","56,37","333,00","252,64","0,07","5,20","31,73"
7100101,"Filé-mignon",99,"Não se aplica","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100201,"Contrafilé",2,"Cozido(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100201,"Contrafilé",3,"Grelhado(a)/brasa/churrasco","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100201,"Contrafilé",4,"Assado(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100201,"Contrafilé",5,"Frito(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","32,88"
7100201,"Contrafilé",6,"Empanado(a)/à milanesa","7,67","20,98","0,04","197,80","2,74","41,09","333,00","256,76","0,08","5,23","34,38"
7100201,"Contrafilé",7,"Refogado(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","32,88"
7100201,"Contrafilé",8,"Molho vermelho","8,20","19,20","0,03","159,60","2,23","137,60","333,00","267,80","0,08","4,20","25,40"
7100205,"Bisteca bovina",1,"Cru(a)","12,00","15,00","0,01","162,00","2,31","50,00","333,00","224,00","0,10","4,88","20,80"
7100205,"Bisteca bovina",2,"Cozido(a)","12,00","15,00","0,01","162,00","2,31","50,00","333,00","224,00","0,10","4,88","20,80"
7100205,"Bisteca bovina",3,"Grelhado(a)/brasa/churrasco","12,00","15,00","0,01","162,00","2,31","50,00","333,00","224,00","0,10","4,88","20,80"
7100205,"Bisteca bovina",4,"Assado(a)","12,00","15,00","0,01","162,00","2,31","50,00","333,00","224,00","0,10","4,88","20,80"
7100205,"Bisteca bovina",5,"Frito(a)","12,00","15,00","0,01","162,00","2,31","50,00","333,00","224,00","0,10","4,88","20,80"
7100205,"Bisteca bovina",6,"Empanado(a)/à milanesa","19,67","22,98","0,04","205,80","1,87","53,09","333,00","327,76","0,08","4,70","30,68"
7100205,"Bisteca bovina",7,"Refogado(a)","12,00","15,00","0,01","162,00","2,31","50,00","333,00","224,00","0,10","4,88","20,80"
7100205,"Bisteca bovina",8,"Molho vermelho","12,20","15,20","0,03","134,80","2,05","144,80","333,00","245,40","0,10","3,94","16,68"
7100301,"Alcatra",1,"Cru(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100301,"Alcatra ",2,"Cozido(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100301,"Alcatra",3,"Grelhado(a)/brasa/churrasco","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100301,"Alcatra",4,"Assado(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100301,"Alcatra",5,"Frito(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","34,27"
7100301,"Alcatra",6,"Empanado(a)/à milanesa","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","34,27"
7100301,"Alcatra",7,"Refogado(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","34,27"
7100301,"Alcatra",8,"Molho vermelho","8,20","19,20","0,03","159,60","2,23","137,60","333,00","267,80","0,08","4,20","25,40"
7100301,"Alcatra",12,"Ao vinagrete","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100301,"Alcatra",13,"Ensopado","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","34,27"
7100303,"Maminha",3,"Grelhado(a)/brasa/churrasco","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
7100303,"Maminha",4,"Assado(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
7100303,"Maminha",5,"Frito(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","35,57"
7100303,"Maminha",8,"Molho vermelho","5,80","24,00","0,04","186,00","2,86","140,80","333,00","333,40","0,12","3,69","26,44"
7100304,"Picanha",2,"Cozido(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100304,"Picanha",3,"Grelhado(a)/brasa/churrasco","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100304,"Picanha",4,"Assado(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","31,70"
7100304,"Picanha ",5,"Frito(a)","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","34,27"
7100304,"Picanha ",13,"Ensopado","7,00","20,00","0,01","193,00","2,53","41,00","333,00","252,00","0,07","5,20","34,27"
7100501,"Patinho",2,"Cozido(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
7100501,"Patinho",3,"Grelhado(a)/brasa/churrasco","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
7100501,"Patinho",4,"Assado(a)","4,00","26,00","0,02","226,00","3,32","45,00","333,00","334,00","0,12","4,56","33,00"
