" Tabela 3 - Minerais na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Cálcio 
(mg)","Mag-
nésio 
(mg)","Man-
ganês 
(mg)","Fósforo 
(mg)","Ferro 
(mg)","Sódio 
(mg)","Sódio 
de 
adição 
(mg)","Potás-
sio
(mg)","Co-
bre 
(mg)","Zinco
(mg)","Selê-
nio
(mcg)"
"Cereais e leguminosas",,,,,,,,,,,,,,
6400101,"Batata-inglesa",5,"Frito(a)","13,43","33,58","0,24","67,17","0,53","8,40","380,00","550,76","0,28","0,46","6,68"
6400101,"Batata-inglesa",7,"Refogado(a)","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","1,63"
6400101,"Batata-inglesa",8,"Molho vermelho","9,00","19,20","0,13","37,20","0,45","108,80","242,00","328,60","0,16","0,26","0,28"
6400101,"Batata-inglesa",9,"Molho branco","29,28","18,31","0,12","51,69","0,32","24,92","242,00","292,45","0,14","0,31","1,41"
6400101,"Batata-inglesa",10,"Ao alho e óleo","13,43","33,58","0,24","67,17","0,53","8,40","380,00","550,76","0,28","0,46","6,68"
6400101,"Batata-inglesa",11,"Com manteiga/óleo","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","1,63"
6400101,"Batata-inglesa",13,"Ensopado","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","1,63"
6400101,"Batata-inglesa",15,"Sopa","8,56","6,35","0,07","15,76","0,29","310,43","-","88,32","0,04","0,12","1,34"
6400101,"Batata-inglesa",99,"Não se aplica","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","0,30"
6400303,"Mandioquinha salsa (batata-baroa)",2,"Cozido(a)","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","0,20"
6400303,"Mandioquinha salsa (batata-baroa)",7,"Refogado(a)","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","1,02"
6400303,"Mandioquinha salsa (batata-baroa)",13,"Ensopado","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","1,02"
6400303,"Mandioquinha salsa (batata-baroa)",99,"Não se aplica","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","0,20"
6400304,"Cenoura amarela (batata-baroa)",99,"Não se aplica","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","0,20"
6400401,"Batata-doce",1,"Cru(a)","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","0,20"
6400401,"Batata-doce",2,"Cozido(a)","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","0,20"
6400401,"Batata-doce",4,"Assado(a)","38,00","27,00","0,50","54,00","0,69","36,00","148,00","475,00","0,16","0,32","0,20"
6400401,"Batata-doce",5,"Frito(a)","86,67","57,78","0,85","102,72","2,31","86,67","148,00","738,30","0,30","0,64","6,21"
6400401,"Batata-doce",7,"Refogado(a)","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","1,02"
6400401,"Batata-doce",13,"Ensopado","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","1,02"
6400401,"Batata-doce",99,"Não se aplica","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","0,20"
6400501,"Inhame",1,"Cru(a)","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","0,60"
6400501,"Inhame",2,"Cozido(a)","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","0,60"
6400501,"Inhame",4,"Assado(a)","38,00","27,00","0,50","54,00","0,69","36,00","260,00","475,00","0,16","0,32","0,20"
